X,Y,Z,formation,formationID
384011.87795,4797412.62295,4422.16665,sea_AU,1
384974.52391,4797097.78112,4425.96825,sea_AU,1
385936.30294,4796782.77087,4424.63546,sea_AU,1
386898.73633,4796467.62143,4422.25575,sea_AU,1
387861.06339,4796152.31814,4426.11675,sea_AU,1
388822.52363,4795836.84681,4415.49083,sea_AU,1
389784.6175,4795522.34718,4419.56196,sea_AU,1
390746.62577,4795206.58247,4467.56607,sea_AU,1
391708.50746,4794891.77516,4454.2575,sea_AU,1
392670.28315,4794576.81402,4429.30579,sea_AU,1
393632.7131,4794261.71262,4395.57104,sea_AU,1
394594.27668,4793946.4437,4407.58915,sea_AU,1
395555.73422,4793631.02097,4378.18318,sea_AU,1
396517.82655,4793316.56887,4385.6505,sea_AU,1
397479.07211,4793000.83838,4281.23792,sea_AU,1
398440.95272,4792686.0783,4408.03168,sea_AU,1
399402.72752,4792371.16417,4388.175,sea_AU,1
400363.6365,4792056.08328,4360.25403,sea_AU,1
401325.19968,4791740.8612,4201.54762,sea_AU,1
402286.63878,4791426.59633,4151.54842,sea_AU,1
403247.99046,4791111.06619,3933.58828,sea_AU,1
404209.21838,4790796.49327,4100.04788,sea_AU,1
405171.10058,4790481.77844,4159.30977,sea_AU,1
406132.11743,4790166.89737,4234.47602,sea_AU,1
407093.02874,4789851.86229,4336.79177,sea_AU,1
408054.59417,4789536.68494,4315.28452,sea_AU,1
409015.27735,4789222.45299,4283.77059,sea_AU,1
409976.63172,4788906.96728,4283.42087,sea_AU,1
410937.86378,4788592.43859,4276.10205,sea_AU,1
411898.23105,4788277.74441,4361.4153,sea_AU,1
412859.25254,4787962.90738,4472.19036,sea_AU,1
413820.16869,4787647.91613,4446.90675,sea_AU,1
414780.97951,4787332.77066,4449.43125,sea_AU,1
415742.42854,4787018.59301,4448.9115,sea_AU,1
416703.01321,4786704.25025,4450.842,sea_AU,1
417663.50827,4786388.64203,4439.78172,sea_AU,1
418623.88273,4786073.99086,4468.45187,sea_AU,1
419584.91132,4785759.19578,4481.33573,sea_AU,1
420545.81991,4785445.35753,4375.17457,sea_AU,1
421505.87934,4785130.24354,4373.78684,sea_AU,1
422466.57824,4784816.09655,4481.77158,sea_AU,1
423427.18667,4784500.68386,4513.97306,sea_AU,1
424386.91683,4784186.21836,4492.49402,sea_AU,1
425347.30117,4783871.60823,4470.9593,sea_AU,1
426307.58069,4783556.84369,4320.85104,sea_AU,1
427267.74174,4783243.03602,4066.92792,sea_AU,1
428228.57054,4782927.97185,3915.91382,sea_AU,1
429188.52239,4782613.85525,4219.0335,sea_AU,1
430148.38281,4782298.47298,4236.73693,sea_AU,1
431108.87121,4781985.16769,4296.4859,sea_AU,1
432068.52219,4781669.47652,4499.53292,sea_AU,1
433028.80175,4781355.86209,4552.5103,sea_AU,1
